operateur,annee,filiere,consor,code_commune,libelle_commune,code_departement,id_filiere,consototale
Enedis,"2015",Electricité,"2667.51","09182",Massat,"09","100","3170.92"
Enedis,"2015",Electricité,"109.74","09184",Mauvezin-de-Sainte-Croix,"09","100","109.74"
Enedis,"2015",Electricité,"13011.36","09194",Mirepoix,"09","100","18851.940000000002"
Enedis,"2017",Electricité,"652.03","09004",Albiès,"09","100","652.3299999999999"
Enedis,"2017",Electricité,"656.98","09005",Aleu,"09","100","656.98"
Enedis,"2017",Electricité,"203.07","09006",Alliat,"09","100","505.96999999999997"
Enedis,"2017",Electricité,"81.58","09012",Appy,"09","100","81.58"
Enedis,"2017",Electricité,"268.25","09013",Arabaux,"09","100","268.25"
Enedis,"2017",Electricité,"625.39","09014",Argein,"09","100","669.36"
Enedis,"2017",Electricité,"2066.05","09019",Artigat,"09","100","2305.13"
Enedis,"2017",Electricité,"895.16","09023",Ascou,"09","100","1567.6399999999999"
Enedis,"2017",Electricité,"1638.43","09024",Aston,"09","100","2567.65"
Enedis,"2017",Electricité,"718.84","09026",Audressein,"09","100","823.4300000000001"
Enedis,"2017",Electricité,"2720.63","09030",Auzat,"09","100","5441.34"
Enedis,"2017",Electricité,"1251.72","09038",La Bastide-de-Besplas,"09","100","1352.56"
Enedis,"2017",Electricité,"1394.86","09039",La Bastide-de-Bousignac,"09","100","4797.68"
Enedis,"2017",Electricité,"268.33","09046",Bédeille,"09","100","268.33"
Enedis,"2017",Electricité,"209.22","09048",Belloc,"09","100","308.94"
Enedis,"2017",Electricité,"1209.39","09054",Betchat,"09","100","1209.39"
Enedis,"2017",Electricité,"1349.36","09056",Bézac,"09","100","1374.9799999999998"
Enedis,"2017",Electricité,"992.85","09057",Biert,"09","100","992.85"
Enedis,"2017",Electricité,"531.5","09059",Bonac-Irazein,"09","100","531.5"
Enedis,"2017",Electricité,"831.48","09062",Bordes-Uchentein,"09","100","864.0500000000001"
Enedis,"2017",Electricité,"382.76","09063",Le Bosc,"09","100","414.07"
Enedis,"2017",Electricité,"101.12","09068",Burret,"09","100","101.12"
Enedis,"2017",Electricité,"2111.0","09070",Les Cabannes,"09","100","2931.06"
Enedis,"2017",Electricité,"739.31","09071",Cadarcet,"09","100","739.31"
Enedis,"2017",Electricité,"748.15","09077",Capoulet-et-Junac,"09","100","748.15"
Enedis,"2017",Electricité,"2754.61","09079",Carla-Bayle,"09","100","3431.3900000000003"
Enedis,"2017",Electricité,"74.43","09083",Castéras,"09","100","74.43"
Enedis,"2017",Electricité,"241.65","09084",Castex,"09","100","241.65"
Enedis,"2017",Electricité,"2400.12","09085",Castillon-en-Couserans,"09","100","2545.69"
Enedis,"2017",Electricité,"303.88","09092",Cazenave-Serres-et-Allens,"09","100","303.88"
Enedis,"2017",Electricité,"533.52","09095",Cescau,"09","100","935.28"
Enedis,"2017",Electricité,"905.96","09101",Coussa,"09","100","905.96"
Enedis,"2017",Electricité,"601.11","09102",Coutens,"09","100","601.11"
Enedis,"2017",Electricité,"3120.58","09103",Crampagna,"09","100","3120.58"
Enedis,"2017",Electricité,"1385.93","09106",Dreuilhe,"09","100","1747.17"
Enedis,"2017",Electricité,"427.83","09109",Durfort,"09","100","427.83"
Enedis,"2017",Electricité,"459.43","09115",Esclagne,"09","100","459.43"
Enedis,"2017",Electricité,"32422.29","09122",Foix,"09","100","69753.76000000001"
Enedis,"2017",Electricité,"399.81","09126",Freychenet,"09","100","399.81"
Enedis,"2017",Electricité,"348.74","09127",Gabre,"09","100","348.74"
Enedis,"2017",Electricité,"139.86","09133",Génat,"09","100","139.86"
Enedis,"2017",Electricité,"468.93","09136",Gourbit,"09","100","468.93"
Enedis,"2017",Electricité,"570.54","09137",Gudas,"09","100","570.54"
Enedis,"2017",Electricité,"206.58","09141",Illartein,"09","100","206.58"
Enedis,"2017",Electricité,"186.65","09146",Justiniac,"09","100","186.65"
Enedis,"2017",Electricité,"504.32","09148",Lacave,"09","100","504.32"
Enedis,"2017",Electricité,"204.65","09151",Lanoux,"09","100","204.65"
Enedis,"2017",Electricité,"573.68","09153",Lapenne,"09","100","605.6099999999999"
Enedis,"2017",Electricité,"102.33","09156",Larnat,"09","100","102.33"
Enedis,"2017",Electricité,"727.14","09158",Lasserre,"09","100","727.14"
Enedis,"2017",Electricité,"277.01","09163",Lescousse,"09","100","277.01"
Enedis,"2017",Electricité,"8194.4","09167",Lézat-sur-Lèze,"09","100","10792.599999999999"
Enedis,"2017",Electricité,"103.14","09172",Loubaut,"09","100","103.14"
